"Código","Unidade Territorial","UF","Referência","Número de pessoas cadastradas no Cadastro Único em domicílios rurais","Número de pessoas cadastradas no Cadastro Único em domicílios urbanos"
"150020","ACARÁ","PA","06/2018","33120","9658"
"150020","ACARÁ","PA","02/2018","32667","9716"
"150020","ACARÁ","PA","08/2018","32909","9430"
"150020","ACARÁ","PA","12/2018","33443","9249"
"150020","ACARÁ","PA","07/2018","33321","9628"
"150020","ACARÁ","PA","09/2018","33066","9411"
"150020","ACARÁ","PA","11/2018","33531","9463"
"150020","ACARÁ","PA","03/2018","32349","9533"
"150020","ACARÁ","PA","05/2018","32953","9637"
"150020","ACARÁ","PA","01/2018","32524","9648"
"150020","ACARÁ","PA","04/2018","32595","9573"
"150020","ACARÁ","PA","12/2017","32308","9615"
"150020","ACARÁ","PA","02/2017","31736","9916"
"150020","ACARÁ","PA","08/2017","32530","10019"
"150020","ACARÁ","PA","04/2017","31926","9952"
"150020","ACARÁ","PA","07/2017","32403","10028"
"150020","ACARÁ","PA","11/2017","32086","9517"
"150020","ACARÁ","PA","01/2017","31633","9894"
"150020","ACARÁ","PA","10/2017","31947","9440"
"150020","ACARÁ","PA","09/2017","31657","9407"
"150020","ACARÁ","PA","05/2017","32115","9997"
"150020","ACARÁ","PA","03/2017","31881","9917"
"150020","ACARÁ","PA","06/2017","32202","9990"
"150020","ACARÁ","PA","07/2016","31679","10143"
"150020","ACARÁ","PA","04/2016","31270","10039"
"150020","ACARÁ","PA","08/2016","31765","10112"
"150020","ACARÁ","PA","01/2016","31117","9994"
"150020","ACARÁ","PA","12/2016","31595","9907"
"150020","ACARÁ","PA","10/2016","31960","10184"
"150020","ACARÁ","PA","09/2016","31974","10158"
"150020","ACARÁ","PA","11/2016","31927","10185"
"150020","ACARÁ","PA","03/2016","31210","10010"
"150020","ACARÁ","PA","02/2016","31167","10014"
"150020","ACARÁ","PA","06/2016","31444","10084"
"150020","ACARÁ","PA","05/2016","31410","10062"
"150020","ACARÁ","PA","01/2015","30332","10416"
"150020","ACARÁ","PA","02/2015","30500","10380"
"150020","ACARÁ","PA","10/2015","31062","10191"
"150020","ACARÁ","PA","04/2015","30687","10406"
"150020","ACARÁ","PA","07/2015","30784","10197"
"150020","ACARÁ","PA","11/2015","31341","10221"
"150020","ACARÁ","PA","12/2015","31475","10206"
"150020","ACARÁ","PA","05/2015","30912","10413"
"150020","ACARÁ","PA","08/2015","30912","10181"
