"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Cód.";"Unidade da Federação e Município";"Idade";"2022"
"Cód.";"Unidade da Federação e Município";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"Cód.";"Unidade da Federação e Município";"Idade";"Total";"Total";"Total";"Total";"Total";"Total"
"1506351";"Santa Bárbara do Pará (PA)";"Total";"21087";"3409";"2076";"17";"15561";"24"
"1506401";"Santa Cruz do Arari (PA)";"Total";"7445";"977";"1945";"10";"4509";"4"
"1506500";"Santa Izabel do Pará (PA)";"Total";"73019";"11585";"7236";"279";"53832";"86"
"1506559";"Santa Luzia do Pará (PA)";"Total";"20370";"3369";"1547";"24";"14694";"736"
"1506583";"Santa Maria das Barreiras (PA)";"Total";"16548";"3582";"1694";"26";"11146";"100"
"1506609";"Santa Maria do Pará (PA)";"Total";"24624";"4867";"1455";"59";"17848";"395"
"1506708";"Santana do Araguaia (PA)";"Total";"32413";"6971";"4312";"84";"20900";"145"
"1506807";"Santarém (PA)";"Total";"331942";"56124";"23988";"389";"240817";"10602"
"1506906";"Santarém Novo (PA)";"Total";"6116";"866";"383";"9";"4854";"4"
"1507003";"Santo Antônio do Tauá (PA)";"Total";"27461";"5109";"1935";"50";"20328";"39"
"1507102";"São Caetano de Odivelas (PA)";"Total";"16666";"2879";"950";"12";"12819";"6"
"1507151";"São Domingos do Araguaia (PA)";"Total";"21092";"3910";"2204";"31";"14889";"57"
"1507201";"São Domingos do Capim (PA)";"Total";"30599";"3564";"3116";"15";"23897";"7"
"1507300";"São Félix do Xingu (PA)";"Total";"65418";"12033";"6152";"72";"44722";"2439"
"1507409";"São Francisco do Pará (PA)";"Total";"14894";"2535";"819";"21";"11495";"24"
"1507458";"São Geraldo do Araguaia (PA)";"Total";"24255";"4524";"3002";"24";"16241";"463"
"1507466";"São João da Ponta (PA)";"Total";"4430";"429";"125";"2";"3873";"1"
"1507474";"São João de Pirabas (PA)";"Total";"20689";"3527";"989";"9";"16160";"4"
"1507508";"São João do Araguaia (PA)";"Total";"13664";"2014";"1851";"13";"9761";"25"
"1507607";"São Miguel do Guamá (PA)";"Total";"52894";"5750";"5638";"45";"41427";"33"
"1507706";"São Sebastião da Boa Vista (PA)";"Total";"25643";"5030";"1568";"30";"18992";"23"
"1507755";"Sapucaia (PA)";"Total";"5847";"1099";"437";"8";"4298";"5"
"1507805";"Senador José Porfírio (PA)";"Total";"22576";"3289";"2664";"39";"15763";"821"
"1507904";"Soure (PA)";"Total";"24204";"2750";"4458";"12";"16958";"26"
"1507953";"Tailândia (PA)";"Total";"72493";"13465";"8663";"155";"50123";"85"
"1507961";"Terra Alta (PA)";"Total";"10400";"1797";"665";"19";"7917";"2"
"1507979";"Terra Santa (PA)";"Total";"18782";"2975";"637";"6";"15137";"26"
