Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total
150307,GARRAFÃO DO NORTE,1069.0,1261.0,1263.0,1236.0,1057.0,774.0,,521.0,386.0,313.0,273.0,211.0,685.0,25034.0
150309,GOIANÉSIA DO PARÁ,1352.0,1279.0,1314.0,1272.0,1284.0,1098.0,,663.0,585.0,461.0,373.0,253.0,617.0,30436.0
150310,GURUPÁ,1578.0,1552.0,1579.0,1371.0,1155.0,857.0,,502.0,429.0,362.0,261.0,217.0,709.0,29062.0
150320,IGARAPÉ-AÇU,1258.0,1309.0,1566.0,1665.0,1486.0,1191.0,,857.0,661.0,594.0,470.0,384.0,1453.0,35887.0
150330,IGARAPÉ-MIRI,2532.0,2634.0,2715.0,2824.0,2464.0,1878.0,,1189.0,924.0,810.0,657.0,510.0,1961.0,58077.0
150340,INHANGAPI,371.0,398.0,423.0,480.0,424.0,336.0,,241.0,208.0,142.0,126.0,114.0,362.0,10037.0
150345,IPIXUNA DO PARÁ,2078.0,2298.0,2347.0,1933.0,2332.0,2001.0,,1321.0,805.0,723.0,498.0,489.0,754.0,51309.0
150350,IRITUIA,1306.0,1359.0,1428.0,1410.0,1217.0,1013.0,,657.0,462.0,433.0,389.0,351.0,1249.0,31364.0
150360,ITAITUBA,3635.0,3866.0,4289.0,4352.0,3899.0,3448.0,,2321.0,1861.0,1653.0,1214.0,904.0,2379.0,97493.0
150370,ITUPIRANGA,2328.0,2394.0,2430.0,2239.0,1988.0,1604.0,,1070.0,830.0,765.0,680.0,553.0,1285.0,51220.0
150375,JACAREACANGA,625.0,668.0,548.0,465.0,538.0,435.0,,421.0,331.0,264.0,147.0,120.0,170.0,14103.0
