Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano,Homens,Mulheres
150745,São Geraldo do Araguaia (PA),4524.0,3002.0,24,16241.0,463.0,24255,Carajás,2022,,
150746,São João da Ponta (PA),429.0,125.0,2,3873.0,1.0,4430,Guamá,2022,,
150747,São João de Pirabas (PA),3527.0,989.0,9,16160.0,4.0,20689,Rio Caeté,2022,,
150750,São João do Araguaia (PA),2014.0,1851.0,13,9761.0,25.0,13664,Carajás,2022,,
150760,São Miguel do Guamá (PA),5750.0,5638.0,45,41427.0,33.0,52894,Guamá,2022,,
150770,São Sebastião da Boa Vista (PA),5030.0,1568.0,30,18992.0,23.0,25643,Marajó,2022,,
150775,Sapucaia (PA),1099.0,437.0,8,4298.0,5.0,5847,Araguaia,2022,,
150780,Senador José Porfírio (PA),3289.0,2664.0,39,15763.0,821.0,22576,Xingu,2022,,
150790,Soure (PA),2750.0,4458.0,12,16958.0,26.0,24204,Marajó,2022,,
150795,Tailândia (PA),13465.0,8663.0,155,50123.0,85.0,72493,Tocantins,2022,,
150796,Terra Alta (PA),1797.0,665.0,19,7917.0,2.0,10400,Guamá,2022,,
150797,Terra Santa (PA),2975.0,637.0,6,15137.0,26.0,18782,Baixo Amazonas,2022,,
150800,Tomé-Açu (PA),10838.0,7803.0,502,47913.0,529.0,67585,Rio Capim,2022,,
150803,Tracuateua (PA),2569.0,1006.0,8,24993.0,19.0,28595,Rio Caeté,2022,,
150805,Trairão (PA),3098.0,1250.0,7,10543.0,344.0,15242,Tapajós,2022,,
150808,Tucumã (PA),10783.0,3276.0,62,25388.0,39.0,39550,Araguaia,2022,,
150810,Tucuruí (PA),20702.0,10284.0,88,59425.0,805.0,91306,Lago Tucuruí,2022,,
150812,Ulianópolis (PA),8860.0,3435.0,49,25592.0,35.0,37972,Rio Capim,2022,,
150815,Uruará (PA),9503.0,4409.0,11,29535.0,100.0,43558,Xingu,2022,,
150820,Vigia (PA),10924.0,3632.0,24,36224.0,25.0,50832,Guamá,2022,,
150830,Viseu (PA),6782.0,3385.0,24,48435.0,66.0,58692,Rio Caeté,2022,,
150835,Vitória do Xingu (PA),2730.0,1666.0,24,10667.0,517.0,15607,Xingu,2022,,
150840,Xinguara (PA),12369.0,4933.0,69,35466.0,56.0,52893,Araguaia,2022,,
1,Pará,,,,,,7581051,,2010,3821837.0,3759214.0
150010,Abaetetuba (PA),,,,,,141100,Tocantins,2010,71630.0,69470.0
150013,Abel Figueiredo (PA),,,,,,6780,Rio Capim,2010,3533.0,3247.0
150020,Acará (PA),,,,,,53569,Tocantins,2010,28115.0,25454.0
150030,Afuá (PA),,,,,,35042,Marajó,2010,18453.0,16589.0
150034,Água Azul do Norte (PA),,,,,,25057,Araguaia,2010,13618.0,11439.0
150040,Alenquer (PA),,,,,,52626,Baixo Amazonas,2010,27030.0,25596.0
150050,Almeirim (PA),,,,,,33614,Baixo Amazonas,2010,17468.0,16146.0
150060,Altamira (PA),,,,,,99075,Xingu,2010,49819.0,49256.0
150070,Anajás (PA),,,,,,24759,Marajó,2010,12957.0,11802.0
150080,Ananindeua (PA),,,,,,471980,Guajará,2010,226635.0,245345.0
150085,Anapu (PA),,,,,,20543,Xingu,2010,10992.0,9551.0
150090,Augusto Corrêa (PA),,,,,,40497,Rio Caeté,2010,20989.0,19508.0
150095,Aurora do Pará (PA),,,,,,26546,Rio Capim,2010,13620.0,12926.0
150100,Aveiro (PA),,,,,,15849,Tapajós,2010,8367.0,7482.0
150110,Bagre (PA),,,,,,23864,Marajó,2010,12135.0,11729.0
150120,Baião (PA),,,,,,36882,Tocantins,2010,19446.0,17436.0
150125,Bannach (PA),,,,,,3431,Araguaia,2010,1847.0,1584.0
150130,Barcarena (PA),,,,,,99859,Tocantins,2010,50346.0,49513.0
150140,Belém (PA),,,,,,1393399,Guajará,2010,659008.0,734391.0
150145,Belterra (PA),,,,,,16318,Baixo Amazonas,2010,8481.0,7837.0
150150,Benevides (PA),,,,,,51651,Guajará,2010,25815.0,25836.0
150157,Bom Jesus do Tocantins (PA),,,,,,15298,Carajás,2010,8051.0,7247.0
150160,Bonito (PA),,,,,,13630,Rio Caeté,2010,7114.0,6516.0
150170,Bragança (PA),,,,,,113227,Rio Caeté,2010,57291.0,55936.0
150172,Brasil Novo (PA),,,,,,15690,Xingu,2010,8314.0,7376.0
150175,Brejo Grande do Araguaia (PA),,,,,,7317,Carajás,2010,3832.0,3485.0
150178,Breu Branco (PA),,,,,,52493,Lago Tucuruí,2010,27085.0,25408.0
150180,Breves (PA),,,,,,92860,Marajó,2010,47788.0,45072.0
150190,Bujaru (PA),,,,,,25695,Rio Capim,2010,13335.0,12360.0
150195,Cachoeira do Piriá (PA),,,,,,26484,Rio Caeté,2010,13720.0,12764.0
150200,Cachoeira do Arari (PA),,,,,,20443,Marajó,2010,10545.0,9898.0
150210,Cametá (PA),,,,,,120896,Tocantins,2010,62016.0,58880.0
150215,Canaã dos Carajás (PA),,,,,,26716,Carajás,2010,13585.0,13131.0
150220,Capanema (PA),,,,,,63639,Rio Caeté,2010,31494.0,32145.0
150230,Capitão Poço (PA),,,,,,51893,Rio Capim,2010,26621.0,25272.0
150240,Castanhal (PA),,,,,,173149,Guamá,2010,84476.0,88673.0
150250,Chaves (PA),,,,,,21005,Marajó,2010,11180.0,9825.0
150260,Colares (PA),,,,,,11381,Guamá,2010,5879.0,5502.0
150270,Conceição do Araguaia (PA),,,,,,45557,Araguaia,2010,23309.0,22248.0
150275,Concórdia do Pará (PA),,,,,,28216,Rio Capim,2010,14590.0,13626.0
150276,Cumaru do Norte (PA),,,,,,10466,Araguaia,2010,6081.0,4385.0
150277,Curionópolis (PA),,,,,,18288,Carajás,2010,9666.0,8622.0
150280,Curralinho (PA),,,,,,28549,Marajó,2010,15059.0,13490.0
150285,Curuá (PA),,,,,,12254,Baixo Amazonas,2010,6456.0,5798.0
150290,Curuçá (PA),,,,,,34294,Guamá,2010,17568.0,16726.0
150293,Dom Eliseu (PA),,,,,,51319,Rio Capim,2010,26624.0,24695.0
150295,Eldorado do Carajás (PA),,,,,,31786,Carajás,2010,16814.0,14972.0
150300,Faro (PA),,,,,,8177,Baixo Amazonas,2010,4240.0,3937.0
150304,Floresta do Araguaia (PA),,,,,,17768,Araguaia,2010,9551.0,8217.0
150307,Garrafão do Norte (PA),,,,,,25034,Rio Capim,2010,13107.0,11927.0
150309,Goianésia do Pará (PA),,,,,,30436,Lago Tucuruí,2010,15750.0,14686.0
150310,Gurupá (PA),,,,,,29062,Marajó,2010,15400.0,13662.0
150320,Igarapé-Açu (PA),,,,,,35887,Guamá,2010,18117.0,17770.0
150330,Igarapé-Miri (PA),,,,,,58077,Tocantins,2010,29674.0,28403.0
150340,Inhangapi (PA),,,,,,10037,Guamá,2010,5170.0,4867.0
150345,Ipixuna do Pará (PA),,,,,,51309,Rio Capim,2010,26904.0,24405.0
150350,Irituia (PA),,,,,,31364,Rio Capim,2010,16261.0,15103.0
150360,Itaituba (PA),,,,,,97493,Tapajós,2010,49681.0,47812.0
150370,Itupiranga (PA),,,,,,51220,Lago Tucuruí,2010,27026.0,24194.0
150375,Jacareacanga (PA),,,,,,14103,Tapajós,2010,8037.0,6066.0
150380,Jacundá (PA),,,,,,51360,Lago Tucuruí,2010,25769.0,25591.0
