Codigo,Municipio,Idade,Total
1501006,Aveiro (PA),50 anos,144
1501006,Aveiro (PA),54 anos,100
1501006,Aveiro (PA),55 anos,112
1501006,Aveiro (PA),59 anos,83
1501006,Aveiro (PA),60 anos,93
1501006,Aveiro (PA),64 anos,54
1501006,Aveiro (PA),70 anos ou mais,515
1501105,Bagre (PA),Total,23864
1501105,Bagre (PA),Menos de 1 ano,634
1501105,Bagre (PA),3 anos,680
1501105,Bagre (PA),4 anos,697
1501105,Bagre (PA),6 anos,673
1501105,Bagre (PA),7 anos,683
1501105,Bagre (PA),15 anos,652
1501105,Bagre (PA),16 anos,584
1501105,Bagre (PA),17 anos,585
1501105,Bagre (PA),18 anos,502
1501105,Bagre (PA),24 anos,394
1501105,Bagre (PA),25 anos,437
1501105,Bagre (PA),34 anos,269
1501105,Bagre (PA),40 anos,315
1501105,Bagre (PA),44 anos,139
1501105,Bagre (PA),45 anos,138
1501105,Bagre (PA),49 anos,119
1501105,Bagre (PA),50 anos,129
1501105,Bagre (PA),54 anos,116
1501105,Bagre (PA),55 anos,107
1501105,Bagre (PA),59 anos,88
1501105,Bagre (PA),60 anos,121
1501105,Bagre (PA),64 anos,75
1501105,Bagre (PA),70 anos ou mais,436
1501204,Baião (PA),Total,36882
1501204,Baião (PA),Menos de 1 ano,649
1501204,Baião (PA),3 anos,838
1501204,Baião (PA),4 anos,843
1501204,Baião (PA),6 anos,879
1501204,Baião (PA),7 anos,896
1501204,Baião (PA),15 anos,856
1501204,Baião (PA),16 anos,817
1501204,Baião (PA),17 anos,810
1501204,Baião (PA),18 anos,776
1501204,Baião (PA),24 anos,725
1501204,Baião (PA),25 anos,726
1501204,Baião (PA),34 anos,517
1501204,Baião (PA),40 anos,486
1501204,Baião (PA),44 anos,319
1501204,Baião (PA),45 anos,333
1501204,Baião (PA),49 anos,265
1501204,Baião (PA),50 anos,259
1501204,Baião (PA),54 anos,226
1501204,Baião (PA),55 anos,219
1501204,Baião (PA),59 anos,191
1501204,Baião (PA),60 anos,188
1501204,Baião (PA),64 anos,151
1501204,Baião (PA),70 anos ou mais,972
1501253,Bannach (PA),Total,3431
1501253,Bannach (PA),Menos de 1 ano,70
1501253,Bannach (PA),3 anos,53
1501253,Bannach (PA),4 anos,81
1501253,Bannach (PA),6 anos,67
1501253,Bannach (PA),7 anos,68
1501253,Bannach (PA),15 anos,73
1501253,Bannach (PA),16 anos,65
1501253,Bannach (PA),17 anos,57
1501253,Bannach (PA),18 anos,72
1501253,Bannach (PA),24 anos,55
1501253,Bannach (PA),25 anos,72
1501253,Bannach (PA),34 anos,43
1501253,Bannach (PA),40 anos,46
1501253,Bannach (PA),44 anos,35
1501253,Bannach (PA),45 anos,33
1501253,Bannach (PA),49 anos,27
1501253,Bannach (PA),50 anos,39
1501253,Bannach (PA),54 anos,28
1501253,Bannach (PA),55 anos,28
1501253,Bannach (PA),59 anos,30
1501253,Bannach (PA),60 anos,23
1501253,Bannach (PA),64 anos,17
1501253,Bannach (PA),70 anos ou mais,94
1501303,Barcarena (PA),Total,99859
1501303,Barcarena (PA),Menos de 1 ano,1992
1501303,Barcarena (PA),3 anos,2066
