Codigo,Municipio,RI,Ano_merge,Ano,Rural_Cadunico,Urbano_Cadunico,Rural_IBGE,Urbano_IBGE
150380,JACUNDÁ,Lago Tucuruí,2010,2013.0,5466.0,23683.0,5677.0,45683.0
150380,JACUNDÁ,Lago Tucuruí,2022,2022.0,5254.0,23553.0,4006.0,33701.0
150390,JURUTI,Baixo Amazonas,2010,2013.0,18226.0,16532.0,31234.0,15852.0
150390,JURUTI,Baixo Amazonas,2022,2022.0,19650.0,13755.0,21090.0,29791.0
150400,LIMOEIRO DO AJURU,Tocantins,2010,2013.0,16518.0,5723.0,18824.0,6197.0
150400,LIMOEIRO DO AJURU,Tocantins,2022,2022.0,19109.0,6092.0,20834.0,8735.0
150405,MÃE DO RIO,Rio Capim,2010,2013.0,7268.0,18315.0,4852.0,23052.0
150405,MÃE DO RIO,Rio Capim,2022,2022.0,6773.0,18420.0,6519.0,27834.0
150410,MAGALHÃES BARATA,Guamá,2010,2013.0,3247.0,3285.0,4320.0,3795.0
150410,MAGALHÃES BARATA,Guamá,2022,2022.0,2965.0,3477.0,4258.0,3857.0
150420,MARABÁ,Carajás,2010,2013.0,21973.0,96462.0,47399.0,186270.0
150420,MARABÁ,Carajás,2022,2022.0,28830.0,111088.0,26814.0,239719.0
150430,MARACANÃ,Guamá,2010,2013.0,15714.0,8487.0,16720.0,11656.0
150430,MARACANÃ,Guamá,2022,2022.0,16353.0,9276.0,15158.0,10813.0
150440,MARAPANIM,Guamá,2010,2013.0,12096.0,6525.0,14901.0,11704.0
150440,MARAPANIM,Guamá,2022,2022.0,11389.0,8285.0,11324.0,15249.0
150442,MARITUBA,Guajará,2010,2013.0,411.0,61656.0,1123.0,107123.0
150442,MARITUBA,Guajará,2022,2022.0,107.0,77675.0,306.0,111479.0
150445,MEDICILÂNDIA,Xingu,2010,2013.0,9900.0,8196.0,17769.0,9559.0
150445,MEDICILÂNDIA,Xingu,2022,2022.0,15170.0,8114.0,16349.0,10745.0
150450,MELGAÇO,Marajó,2010,2013.0,9292.0,10785.0,19305.0,5503.0
150450,MELGAÇO,Marajó,2022,2022.0,16186.0,7527.0,18224.0,9657.0
150460,MOCAJUBA,Tocantins,2010,2013.0,8470.0,16454.0,8452.0,18279.0
150460,MOCAJUBA,Tocantins,2022,2022.0,12832.0,16437.0,7774.0,19424.0
150470,MOJU,Tocantins,2010,2013.0,31642.0,20799.0,44856.0,25162.0
150470,MOJU,Tocantins,2022,2022.0,39346.0,21469.0,50886.0,33208.0
150475,MOJUÍ DOS CAMPOS,Baixo Amazonas,2010,2013.0,486.0,343.0,,
150475,MOJUÍ DOS CAMPOS,Baixo Amazonas,2022,2022.0,12260.0,6325.0,15038.0,8463.0
150480,MONTE ALEGRE,Baixo Amazonas,2010,2013.0,27310.0,20651.0,30897.0,24565.0
150480,MONTE ALEGRE,Baixo Amazonas,2022,2022.0,28113.0,19047.0,27358.0,32654.0
150490,MUANÁ,Marajó,2010,2013.0,14325.0,10520.0,19683.0,14521.0
150490,MUANÁ,Marajó,2022,2022.0,17685.0,13434.0,25807.0,19561.0
150495,NOVA ESPERANÇA DO PIRIÁ,Rio Capim,2010,2013.0,5562.0,11406.0,12194.0,7964.0
150495,NOVA ESPERANÇA DO PIRIÁ,Rio Capim,2022,2022.0,9220.0,9600.0,7748.0,12730.0
150497,NOVA IPIXUNA,Lago Tucuruí,2010,2013.0,4308.0,7147.0,6919.0,7726.0
150497,NOVA IPIXUNA,Lago Tucuruí,2022,2022.0,4044.0,5423.0,6905.0,7050.0
150500,NOVA TIMBOTEUA,Rio Caeté,2010,2013.0,4962.0,3609.0,8150.0,5520.0
150500,NOVA TIMBOTEUA,Rio Caeté,2022,2022.0,3638.0,5395.0,3701.0,9105.0
150503,NOVO PROGRESSO,Tapajós,2010,2013.0,1957.0,9990.0,7407.0,17717.0
