Codigo,Municipio_x,0-3_cadunico,4-6_cadunico,7-15_cadunico,16-17_cadunico,18-24_cadunico,25-34_cadunico,35-39_cadunico,40-44_cadunico,45-49_cadunico,50-54_cadunico,55-59_cadunico,60-64_cadunico,64+_cadunico,Total_cadunico,Ano,RI,Municipio_y,0-3_geral,4-6_geral,7-15_geral,16-17_geral,18-24_geral,25-34_geral,35-39_geral,40-44_geral,45-49_geral,50-54_geral,55-59_geral,60-64_geral,64+_geral,Total_geral
150195,CACHOEIRA DO PIRIÁ,,,4197.0,878.0,2256.0,2463.0,862.0,743.0,680.0,525.0,435.0,315.0,485.0,13839.0,2010,Rio Caeté,Cachoeira do Piriá (PA),2704.0,2253.0,6209.0,1043.0,3672.0,4242.0,1559.0,1390.0,961.0,770.0,576.0,414.0,691.0,26484.0
150195,CACHOEIRA DO PIRIÁ,1258.0,1188.0,3597.0,884.0,2610.0,2779.0,1218.0,1016.0,809.0,685.0,580.0,353.0,505.0,17482.0,2022,Rio Caeté,Cachoeira do Piriá (PA),1565.0,1143.0,3745.0,870.0,2630.0,2971.0,1538.0,1312.0,962.0,891.0,743.0,507.0,1129.0,19630.0
150200,CACHOEIRA DO ARARI,,,3996.0,891.0,2493.0,2545.0,919.0,736.0,630.0,541.0,398.0,257.0,366.0,13772.0,2010,Marajó,Cachoeira do Arari (PA),1717.0,1291.0,4187.0,894.0,2805.0,3304.0,1198.0,1140.0,948.0,712.0,584.0,444.0,1216.0,20443.0
150200,CACHOEIRA DO ARARI,1070.0,1249.0,3927.0,858.0,2516.0,2882.0,1263.0,1122.0,876.0,783.0,608.0,384.0,644.0,18182.0,2022,Marajó,Cachoeira do Arari (PA),1627.0,1412.0,4158.0,861.0,2974.0,4116.0,1813.0,1588.0,1280.0,1114.0,910.0,685.0,1786.0,23981.0
150210,CAMETÁ,,,24694.0,5467.0,14028.0,10995.0,4473.0,3599.0,2655.0,1834.0,1519.0,849.0,737.0,70850.0,2010,Tocantins,Cametá (PA),10821.0,8240.0,26819.0,5636.0,17683.0,18955.0,6796.0,5481.0,4245.0,3778.0,3428.0,2616.0,6378.0,120896.0
150210,CAMETÁ,6793.0,6526.0,21459.0,5069.0,17083.0,18692.0,7586.0,6233.0,5156.0,3994.0,2784.0,1430.0,2308.0,105113.0,2022,Tocantins,Cametá (PA),9738.0,7249.0,23740.0,5452.0,18356.0,22503.0,10184.0,8729.0,7124.0,5792.0,4427.0,3040.0,10159.0,134184.0
150215,CANAÃ DOS CARAJÁS,,,5103.0,961.0,2336.0,2971.0,1233.0,876.0,671.0,463.0,338.0,260.0,596.0,15808.0,2010,Carajás,Canaã dos Carajás (PA),2277.0,1707.0,5128.0,1092.0,3816.0,5277.0,1948.0,1524.0,1218.0,887.0,641.0,438.0,761.0,26716.0
150215,CANAÃ DOS CARAJÁS,2693.0,2615.0,7227.0,1432.0,3805.0,5035.0,2294.0,2022.0,1456.0,1194.0,977.0,834.0,1574.0,33158.0,2022,Carajás,Canaã dos Carajás (PA),6076.0,4717.0,12847.0,2648.0,9728.0,15481.0,7819.0,6115.0,4087.0,2907.0,2128.0,1225.0,2691.0,77079.0
150220,CAPANEMA,,,9458.0,2190.0,5529.0,6411.0,2899.0,2454.0,1926.0,1543.0,1143.0,721.0,1037.0,35311.0,2010,Rio Caeté,Capanema (PA),4270.0,3381.0,11709.0,2689.0,8610.0,10989.0,4493.0,3756.0,3273.0,2644.0,2242.0,1621.0,3951.0,63639.0
150220,CAPANEMA,2113.0,2207.0,7204.0,1722.0,5088.0,5705.0,3053.0,2853.0,2547.0,2171.0,1858.0,1404.0,2666.0,40591.0,2022,Rio Caeté,Capanema (PA),3894.0,3153.0,10104.0,2314.0,8261.0,11433.0,5904.0,5492.0,4646.0,3902.0,3375.0,2182.0,6614.0,70394.0
150230,CAPITÃO POÇO,,,9069.0,2006.0,5720.0,6125.0,2345.0,2027.0,1593.0,1286.0,937.0,675.0,1153.0,32936.0,2010,Rio Capim,Capitão Poço (PA),3888.0,3293.0,11188.0,2504.0,7228.0,8242.0,3283.0,2899.0,2219.0,1802.0,1511.0,1143.0,2689.0,51893.0
150230,CAPITÃO POÇO,2592.0,2220.0,7154.0,1759.0,6171.0,6765.0,2994.0,2721.0,2337.0,1994.0,1738.0,1177.0,1673.0,41295.0,2022,Rio Capim,Capitão Poço (PA),3672.0,2713.0,8916.0,2049.0,7025.0,9593.0,4493.0,4058.0,3369.0,2949.0,2506.0,1536.0,4383.0,56506.0
150240,CASTANHAL,,,24874.0,5254.0,14440.0,16530.0,6944.0,5650.0,4484.0,3174.0,2281.0,1601.0,2612.0,87844.0,2010,Guamá,Castanhal (PA),12231.0,9193.0,31144.0,7219.0,25162.0,32169.0,12622.0,10736.0,8398.0,6871.0,5218.0,3847.0,8326.0,173149.0
150240,CASTANHAL,6244.0,6152.0,19691.0,4621.0,13455.0,15476.0,7853.0,7545.0,6424.0,5558.0,4686.0,3735.0,8414.0,109854.0,2022,Guamá,Castanhal (PA),11347.0,8820.0,27803.0,6302.0,23458.0,32219.0,16434.0,15397.0,12507.0,10855.0,8671.0,5725.0,15291.0,192256.0
150250,CHAVES,,,4331.0,879.0,2419.0,2212.0,872.0,725.0,585.0,432.0,331.0,231.0,402.0,13419.0,2010,Marajó,Chaves (PA),2164.0,1713.0,4955.0,929.0,2865.0,2982.0,1123.0,975.0,778.0,634.0,575.0,409.0,895.0,21005.0
150250,CHAVES,1257.0,1429.0,4295.0,988.0,2610.0,2704.0,1016.0,853.0,662.0,514.0,415.0,229.0,452.0,17424.0,2022,Marajó,Chaves (PA),1960.0,1477.0,4408.0,938.0,2735.0,3124.0,1381.0,1199.0,979.0,778.0,629.0,431.0,1168.0,20757.0
150260,COLARES,,,1929.0,475.0,1206.0,1187.0,462.0,445.0,395.0,291.0,236.0,161.0,215.0,7002.0,2010,Guamá,Colares (PA),957.0,701.0,2291.0,541.0,1498.0,1611.0,661.0,626.0,512.0,413.0,395.0,345.0,827.0,11381.0
150260,COLARES,537.0,608.0,1775.0,458.0,1173.0,1471.0,671.0,598.0,474.0,478.0,436.0,313.0,568.0,9560.0,2022,Guamá,Colares (PA),747.0,737.0,2100.0,475.0,1374.0,1920.0,955.0,889.0,729.0,733.0,616.0,411.0,1356.0,12868.0
150270,CONCEIÇÃO DO ARAGUAIA,,,6519.0,1518.0,3762.0,3929.0,1836.0,1655.0,1352.0,1043.0,816.0,844.0,2428.0,25702.0,2010,Araguaia,Conceição do Araguaia (PA),3192.0,2633.0,8916.0,1942.0,5382.0,7218.0,3100.0,2789.0,2298.0,2001.0,1688.0,1409.0,2978.0,45557.0
150270,CONCEIÇÃO DO ARAGUAIA,1389.0,1451.0,4678.0,1106.0,3273.0,3422.0,1682.0,1791.0,1732.0,1597.0,1448.0,1251.0,3669.0,28489.0,2022,Araguaia,Conceição do Araguaia (PA),2757.0,2141.0,6672.0,1526.0,4962.0,6251.0,3112.0,3203.0,3015.0,2666.0,2387.0,1593.0,4977.0,44617.0
150275,CONCÓRDIA DO PARÁ,,,5297.0,1164.0,3182.0,3100.0,1204.0,1034.0,797.0,584.0,453.0,363.0,602.0,17780.0,2010,Rio Capim,Concórdia do Pará (PA),2557.0,1996.0,5955.0,1338.0,4257.0,4618.0,1731.0,1385.0,935.0,777.0,703.0,610.0,1351.0,28216.0
