Codigo,Municipio_cad,Branca_cadunico,Preta_cadunico,Amarela_cadunico,Parda_cadunico,Indigena_cadunico,NoData_cadunico,RI_cad,Municipio_ibge,Branca_geral,Preta_geral,Amarela_geral,Parda_geral,Indigena_geral,Total_geral,RI_ibge,Ano
150275,CONCÓRDIA DO PARÁ,1805.0,1427.0,91.0,20828.0,5.0,1.0,Rio Capim,Concórdia do Pará (PA),3659.0,4594.0,52,18543.0,33,26881.0,Rio Capim,2022.0
150276,CUMARU DO NORTE,948.0,690.0,87.0,3888.0,657.0,60.0,Araguaia,Cumaru do Norte (PA),2212.0,948.0,93,6012.0,1201,10466.0,Araguaia,2010.0
150276,CUMARU DO NORTE,1106.0,459.0,65.0,4585.0,845.0,3.0,Araguaia,Cumaru do Norte (PA),2273.0,1502.0,12,7246.0,2446,14036.0,Araguaia,2022.0
150277,CURIONÓPOLIS,2924.0,1336.0,109.0,11534.0,33.0,46.0,Carajás,Curionópolis (PA),3824.0,1359.0,234,12860.0,11,18288.0,Carajás,2010.0
150277,CURIONÓPOLIS,2487.0,1110.0,103.0,11427.0,22.0,0.0,Carajás,Curionópolis (PA),4019.0,2192.0,15,13693.0,31,19950.0,Carajás,2022.0
150280,CURRALINHO,1117.0,644.0,31.0,23399.0,21.0,89.0,Marajó,Curralinho (PA),3876.0,1114.0,44,23515.0,-,28549.0,Marajó,2010.0
150280,CURRALINHO,946.0,643.0,71.0,27732.0,15.0,3.0,Marajó,Curralinho (PA),4925.0,2117.0,13,26835.0,13,33903.0,Marajó,2022.0
150285,CURUÁ,1505.0,415.0,24.0,8633.0,0.0,58.0,Baixo Amazonas,Curuá (PA),2267.0,698.0,75,9213.0,1,12254.0,Baixo Amazonas,2010.0
150285,CURUÁ,1506.0,362.0,101.0,10713.0,3.0,0.0,Baixo Amazonas,Curuá (PA),1741.0,813.0,1,11552.0,10,14117.0,Baixo Amazonas,2022.0
150290,CURUÇÁ,1892.0,327.0,72.0,24352.0,6.0,332.0,Guamá,Curuçá (PA),6261.0,1293.0,146,26575.0,19,34294.0,Guamá,2010.0
150290,CURUÇÁ,3611.0,566.0,155.0,27544.0,86.0,3.0,Guamá,Curuçá (PA),7190.0,2159.0,33,31857.0,23,41262.0,Guamá,2022.0
150293,DOM ELISEU,3218.0,3589.0,164.0,18917.0,38.0,244.0,Rio Capim,Dom Eliseu (PA),10907.0,3992.0,700,35676.0,44,51319.0,Rio Capim,2010.0
150293,DOM ELISEU,3188.0,3437.0,504.0,19360.0,20.0,7.0,Rio Capim,Dom Eliseu (PA),13176.0,6145.0,82,39034.0,47,58484.0,Rio Capim,2022.0
150295,ELDORADO DO CARAJÁS,2971.0,1622.0,71.0,14602.0,17.0,143.0,Carajás,Eldorado do Carajás (PA),6843.0,2836.0,543,21522.0,42,31786.0,Carajás,2010.0
150295,ELDORADO DO CARAJÁS,3263.0,1361.0,127.0,17526.0,17.0,2.0,Carajás,Eldorado do Carajás (PA),5526.0,3409.0,22,19198.0,37,28192.0,Carajás,2022.0
150300,FARO,387.0,19.0,3.0,5791.0,3.0,139.0,Baixo Amazonas,Faro (PA),1423.0,224.0,20,6447.0,63,8177.0,Baixo Amazonas,2010.0
150300,FARO,364.0,47.0,24.0,8091.0,41.0,1.0,Baixo Amazonas,Faro (PA),1129.0,201.0,1,7314.0,83,8728.0,Baixo Amazonas,2022.0
150304,FLORESTA DO ARAGUAIA,2537.0,778.0,112.0,9198.0,35.0,156.0,Araguaia,Floresta do Araguaia (PA),4612.0,1473.0,482,11170.0,31,17768.0,Araguaia,2010.0
150304,FLORESTA DO ARAGUAIA,2418.0,633.0,92.0,10820.0,14.0,0.0,Araguaia,Floresta do Araguaia (PA),3816.0,1896.0,23,12134.0,29,17898.0,Araguaia,2022.0
150307,GARRAFÃO DO NORTE,175.0,118.0,18.0,22152.0,1.0,97.0,Rio Capim,Garrafão do Norte (PA),3635.0,987.0,213,20183.0,16,25034.0,Rio Capim,2010.0
150307,GARRAFÃO DO NORTE,226.0,104.0,18.0,19477.0,0.0,0.0,Rio Capim,Garrafão do Norte (PA),3324.0,1523.0,29,19819.0,8,24703.0,Rio Capim,2022.0
